ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0140013	meiotic nuclear division	10/140	172/18670	6.93453E-07	1.42571E-05	1.13243E-05	BUB1/BUB1B/FANCD2/PLK1/RAD51/TTK/RAD54L/ESPL1/NCAPH/NDC1	10
BP	GO:0048024	regulation of mRNA splicing, via spliceosome	8/140	98/18670	7.2917E-07	1.48552E-05	1.17993E-05	HNRNPL/PTBP1/SRSF2/SRSF3/SRSF5/SRSF7/TRA2B/DAZAP1	8
BP	GO:0051052	regulation of DNA metabolic process	15/140	429/18670	8.20529E-07	1.65658E-05	1.3158E-05	DHX9/MSH6/KPNA2/MSH2/EXOSC10/RAC1/RAD51/TIMELESS/AURKB/TRIM28/MIS18A/AUNIP/PIF1/TICRR/ZBTB38	15
BP	GO:0034080	CENP-A containing nucleosome assembly	6/140	44/18670	8.91519E-07	1.76805E-05	1.40434E-05	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0061641	CENP-A containing chromatin organization	6/140	44/18670	8.91519E-07	1.76805E-05	1.40434E-05	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0044786	cell cycle DNA replication	7/140	71/18670	1.02201E-06	2.00905E-05	1.59577E-05	MSH6/MCM2/MCM3/MCM4/MCM5/MCM6/RAD51	7
BP	GO:0046822	regulation of nucleocytoplasmic transport	8/140	104/18670	1.14932E-06	2.23967E-05	1.77894E-05	DHX9/ECT2/RAN/TRIM28/CPSF6/TARDBP/NUP62/GTSE1	8
BP	GO:0022618	ribonucleoprotein complex assembly	12/140	277/18670	1.21141E-06	2.34032E-05	1.85889E-05	DHX9/EIF2D/MAPT/POLR2D/SRSF5/SNRPD1/SNRPD3/G3BP1/CPSF6/MRTO4/TICRR/RC3H1	12
BP	GO:1902750	negative regulation of cell cycle G2/M phase transition	8/140	105/18670	1.23631E-06	2.36801E-05	1.88088E-05	ORC1/PLK1/PSMC6/AURKB/PSME3/DTL/CLSPN/TICRR	8
BP	GO:0006403	RNA localization	11/140	230/18670	1.31422E-06	2.4959E-05	1.98246E-05	DHX9/EXOSC10/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	11
BP	GO:0070507	regulation of microtubule cytoskeleton organization	10/140	186/18670	1.41631E-06	2.66719E-05	2.11852E-05	CCNF/KIF11/MAPT/PLK1/RAC1/STIL/PLK4/NUP62/CEP85/CHMP4B	10
BP	GO:0010212	response to ionizing radiation	9/140	147/18670	1.65939E-06	3.07892E-05	2.44555E-05	ECT2/FANCD2/IFI16/MSH2/RAD51/XRCC2/RAD54L/RFWD3/TICRR	9
BP	GO:0010639	negative regulation of organelle organization	14/140	395/18670	1.66243E-06	3.07892E-05	2.44555E-05	BUB1/BUB1B/CCNF/CENPF/MAPT/MCM2/PLK1/EXOSC10/TTK/AURKB/ESPL1/PIF1/LRRK2/CHMP4B	14
BP	GO:0006401	RNA catabolic process	14/140	397/18670	1.76375E-06	3.23981E-05	2.57335E-05	DHX9/HNRNPM/YBX1/EXOSC10/POLR2D/PSMC6/VIM/PSME3/HNRNPR/TARDBP/SERBP1/MRTO4/YTHDF2/RC3H1	14
BP	GO:0050657	nucleic acid transport	10/140	193/18670	1.97817E-06	3.57506E-05	2.83963E-05	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	10
BP	GO:0050658	RNA transport	10/140	193/18670	1.97817E-06	3.57506E-05	2.83963E-05	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	10
BP	GO:0071826	ribonucleoprotein complex subunit organization	12/140	291/18670	2.02616E-06	3.6325E-05	2.88525E-05	DHX9/EIF2D/MAPT/POLR2D/SRSF5/SNRPD1/SNRPD3/G3BP1/CPSF6/MRTO4/TICRR/RC3H1	12
BP	GO:0051236	establishment of RNA localization	10/140	196/18670	2.27295E-06	4.04261E-05	3.21099E-05	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	10
BP	GO:0045839	negative regulation of mitotic nuclear division	6/140	52/18670	2.44771E-06	4.31915E-05	3.43065E-05	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0006268	DNA unwinding involved in DNA replication	4/140	14/18670	2.86005E-06	4.97322E-05	3.95017E-05	MCM2/MCM4/MCM6/RAD51	4
BP	GO:0031570	DNA integrity checkpoint	9/140	157/18670	2.86276E-06	4.97322E-05	3.95017E-05	MSH2/ORC1/PLK1/TIMELESS/GTSE1/DTL/RFWD3/CLSPN/TICRR	9
BP	GO:0006336	DNA replication-independent nucleosome assembly	6/140	54/18670	3.06726E-06	5.28748E-05	4.19978E-05	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0061982	meiosis I cell cycle process	8/140	119/18670	3.18458E-06	5.44783E-05	4.32715E-05	CDC25A/FANCD2/MSH6/PLK1/RAD51/RAD54L/ESPL1/NDC1	8
BP	GO:0034724	DNA replication-independent nucleosome organization	6/140	55/18670	3.42174E-06	5.80918E-05	4.61417E-05	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0008608	attachment of spindle microtubules to kinetochore	5/140	32/18670	3.77598E-06	6.36239E-05	5.05357E-05	CDC42/ECT2/AURKB/KIF2C/RACGAP1	5
BP	GO:0051170	import into nucleus	9/140	163/18670	3.89687E-06	6.51708E-05	5.17644E-05	ECT2/KPNA2/RAN/SNRPD1/SNRPD3/TRIM28/TARDBP/NUP62/LRRK2	9
BP	GO:0000076	DNA replication checkpoint	4/140	16/18670	5.13978E-06	8.52904E-05	6.77452E-05	ORC1/TIMELESS/CLSPN/TICRR	4
BP	GO:0071426	ribonucleoprotein complex export from nucleus	8/140	127/18670	5.17604E-06	8.52904E-05	6.77452E-05	POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	8
BP	GO:0071166	ribonucleoprotein complex localization	8/140	128/18670	5.48654E-06	8.97471E-05	7.1285E-05	POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	8
BP	GO:0033260	nuclear DNA replication	6/140	60/18670	5.73038E-06	9.1727E-05	7.28576E-05	MCM2/MCM3/MCM4/MCM5/MCM6/RAD51	6
BP	GO:0043486	histone exchange	6/140	60/18670	5.73038E-06	9.1727E-05	7.28576E-05	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0051784	negative regulation of nuclear division	6/140	60/18670	5.73038E-06	9.1727E-05	7.28576E-05	BUB1/BUB1B/CENPF/PLK1/TTK/AURKB	6
BP	GO:0032886	regulation of microtubule-based process	10/140	218/18670	5.86668E-06	9.32427E-05	7.40616E-05	CCNF/KIF11/MAPT/PLK1/RAC1/STIL/PLK4/NUP62/CEP85/CHMP4B	10
BP	GO:0008340	determination of adult lifespan	4/140	17/18670	6.68216E-06	0.000105456	8.37623E-05	MSH6/MSH2/RAD54L/LRRK2	4
BP	GO:0009314	response to radiation	14/140	448/18670	7.1096E-06	0.000111417	8.84971E-05	CDC25A/ECT2/FANCD2/MSH6/IFI16/MSH2/RAD51/RP1/XRCC2/RAD54L/AURKB/DTL/RFWD3/TICRR	14
BP	GO:0007099	centriole replication	5/140	37/18670	7.93101E-06	0.000123426	9.8036E-05	STIL/PLK4/NUP62/SASS6/WDR62	5
BP	GO:0006611	protein export from nucleus	9/140	179/18670	8.35005E-06	0.000129051	0.000102504	POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/GTSE1/NDC1	9
BP	GO:0016446	somatic hypermutation of immunoglobulin genes	4/140	18/18670	8.54141E-06	0.000131105	0.000104135	MSH6/MSH2/UNG/EXO1	4
BP	GO:0070192	chromosome organization involved in meiotic cell cycle	6/140	65/18670	9.16841E-06	0.000139772	0.000111019	BUB1/BUB1B/FANCD2/RAD51/NCAPH/NDC1	6
BP	GO:0002566	somatic diversification of immune receptors via somatic mutation	4/140	19/18670	1.07562E-05	0.00016287	0.000129365	MSH6/MSH2/UNG/EXO1	4
BP	GO:0098534	centriole assembly	5/140	40/18670	1.1758E-05	0.000176843	0.000140465	STIL/PLK4/NUP62/SASS6/WDR62	5
BP	GO:0015931	nucleobase-containing compound transport	10/140	241/18670	1.41086E-05	0.000210783	0.000167422	DHX9/POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6/NUP62/NDC1	10
BP	GO:1902115	regulation of organelle assembly	9/140	194/18670	1.59246E-05	0.000236339	0.000187721	PLK1/RP1/STIL/G3BP1/PLK4/NUP62/WRAP73/LRRK2/CHMP4B	9
BP	GO:0010824	regulation of centrosome duplication	5/140	43/18670	1.6893E-05	0.000249061	0.000197826	CCNF/STIL/PLK4/NUP62/CHMP4B	5
BP	GO:0051028	mRNA transport	8/140	152/18670	1.93427E-05	0.000283144	0.000224898	DHX9/POLR2D/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	8
BP	GO:1900182	positive regulation of protein localization to nucleus	6/140	74/18670	1.94575E-05	0.000283144	0.000224898	ECT2/PLK1/RAN/TRIM28/TARDBP/GTSE1	6
BP	GO:0006406	mRNA export from nucleus	7/140	111/18670	2.03477E-05	0.000292302	0.000232172	POLR2D/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	7
BP	GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	7/140	111/18670	2.03477E-05	0.000292302	0.000232172	POLR2D/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	7
BP	GO:1900180	regulation of protein localization to nucleus	7/140	116/18670	2.70798E-05	0.000386534	0.000307019	ECT2/PLK1/RAN/TRIM28/TARDBP/NUP62/GTSE1	7
BP	GO:0050792	regulation of viral process	9/140	208/18670	2.76466E-05	0.000392127	0.000311462	DHX9/IFI16/ILF3/KPNA2/POLR2D/TRIM28/RRP1B/TARDBP/CHMP4B	9
BP	GO:0031497	chromatin assembly	8/140	165/18670	3.48937E-05	0.000490462	0.000389569	CENPA/HELLS/MCM2/NASP/OIP5/MIS18A/HJURP/CENPH	8
BP	GO:0034502	protein localization to chromosome	6/140	82/18670	3.50174E-05	0.000490462	0.000389569	CENPA/MSH2/PLK1/TTK/AURKB/CDCA5	6
BP	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	9/140	222/18670	4.60013E-05	0.000640304	0.000508586	DHX9/IFI16/ILF3/KPNA2/POLR2D/TRIM28/RRP1B/TARDBP/CHMP4B	9
BP	GO:0045840	positive regulation of mitotic nuclear division	5/140	53/18670	4.74231E-05	0.000647194	0.000514059	ESPL1/DLGAP5/NUP62/NUSAP1/CDCA5	5
BP	GO:0033314	mitotic DNA replication checkpoint	3/140	10/18670	4.76515E-05	0.000647194	0.000514059	ORC1/CLSPN/TICRR	3
BP	GO:0051231	spindle elongation	3/140	10/18670	4.76515E-05	0.000647194	0.000514059	AURKB/KIF23/RACGAP1	3
BP	GO:0051255	spindle midzone assembly	3/140	10/18670	4.76515E-05	0.000647194	0.000514059	AURKB/KIF23/RACGAP1	3
BP	GO:0043044	ATP-dependent chromatin remodeling	6/140	88/18670	5.22381E-05	0.000705214	0.000560143	CENPA/NASP/OIP5/MIS18A/HJURP/CENPH	6
BP	GO:0007018	microtubule-based movement	10/140	283/18670	5.54591E-05	0.000744215	0.000591121	CDC42/KIF11/KIFC1/MAPT/KIF23/DLGAP5/KIF14/KIF20A/KIF2C/RACGAP1	10
BP	GO:0042306	regulation of protein import into nucleus	5/140	55/18670	5.68019E-05	0.000757697	0.00060183	ECT2/RAN/TRIM28/TARDBP/NUP62	5
BP	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	6/140	93/18670	7.12582E-05	0.000944909	0.00075053	ORC1/PSMC6/AURKB/PSME3/CLSPN/TICRR	6
BP	GO:1904589	regulation of protein import	5/140	58/18670	7.34822E-05	0.000968668	0.000769401	ECT2/RAN/TRIM28/TARDBP/NUP62	5
BP	GO:0051095	regulation of helicase activity	3/140	12/18670	8.64044E-05	0.001125769	0.000894185	MSH6/MCM2/MSH2	3
BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore	3/140	12/18670	8.64044E-05	0.001125769	0.000894185	CDC42/ECT2/RACGAP1	3
BP	GO:0031124	mRNA 3'-end processing	6/140	98/18670	9.54364E-05	0.001236261	0.000981947	POLR2D/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6	6
BP	GO:0006333	chromatin assembly or disassembly	8/140	191/18670	9.78879E-05	0.001253524	0.000995659	CENPA/HELLS/MCM2/NASP/OIP5/MIS18A/HJURP/CENPH	8
BP	GO:0019080	viral gene expression	8/140	191/18670	9.78879E-05	0.001253524	0.000995659	DHX9/EIF2D/POLR2D/PTBP1/RRP1B/TARDBP/NUP62/NDC1	8
BP	GO:0006606	protein import into nucleus	7/140	143/18670	0.000102648	0.001307017	0.001038148	ECT2/KPNA2/RAN/TRIM28/TARDBP/NUP62/LRRK2	7
BP	GO:0040001	establishment of mitotic spindle localization	4/140	33/18670	0.000104671	0.001325236	0.001052619	CENPA/PLK1/ESPL1/NUSAP1	4
BP	GO:0007062	sister chromatid cohesion	5/140	63/18670	0.000109388	0.001377182	0.001093879	BUB1/BUB1B/PLK1/ESPL1/CDCA5	5
BP	GO:0006334	nucleosome assembly	7/140	145/18670	0.000111968	0.001401793	0.001113428	CENPA/MCM2/NASP/OIP5/MIS18A/HJURP/CENPH	7
BP	GO:0010259	multicellular organism aging	4/140	35/18670	0.000132386	0.001648205	0.00130915	MSH6/MSH2/RAD54L/LRRK2	4
BP	GO:0051785	positive regulation of nuclear division	5/140	66/18670	0.000136603	0.001691309	0.001343387	ESPL1/DLGAP5/NUP62/NUSAP1/CDCA5	5
BP	GO:0031123	RNA 3'-end processing	7/140	150/18670	0.00013831	0.001703034	0.0013527	EXOSC10/POLR2D/SRSF2/SRSF3/SRSF5/SRSF7/CPSF6	7
BP	GO:0007100	mitotic centrosome separation	3/140	14/18670	0.000141395	0.001722103	0.001367846	KIF11/NUP62/CEP85	3
BP	GO:0019081	viral translation	3/140	14/18670	0.000141395	0.001722103	0.001367846	DHX9/EIF2D/PTBP1	3
BP	GO:0044774	mitotic DNA integrity checkpoint	6/140	106/18670	0.000147278	0.001784053	0.001417052	MSH2/ORC1/GTSE1/RFWD3/CLSPN/TICRR	6
BP	GO:0034504	protein localization to nucleus	9/140	262/18670	0.000162876	0.001955742	0.001553423	ECT2/KPNA2/PLK1/RAN/TRIM28/TARDBP/NUP62/GTSE1/LRRK2	9
BP	GO:0006275	regulation of DNA replication	6/140	108/18670	0.000163197	0.001955742	0.001553423	DHX9/MSH6/RAC1/TIMELESS/TICRR/ZBTB38	6
BP	GO:0042307	positive regulation of protein import into nucleus	4/140	37/18670	0.000165058	0.00196753	0.001562786	ECT2/RAN/TRIM28/TARDBP	4
BP	GO:0051299	centrosome separation	3/140	15/18670	0.000175775	0.002079837	0.00165199	KIF11/NUP62/CEP85	3
BP	GO:0051053	negative regulation of DNA metabolic process	7/140	156/18670	0.000176336	0.002079837	0.00165199	MSH6/MSH2/EXOSC10/TIMELESS/TRIM28/AUNIP/PIF1	7
BP	GO:0019058	viral life cycle	10/140	328/18670	0.000186574	0.002189075	0.001738757	CDC42/IFI16/ILF3/KPNA2/RAN/TRIM28/WWP2/NUP62/NDC1/CHMP4B	10
BP	GO:1904591	positive regulation of protein import	4/140	39/18670	0.000203187	0.002371574	0.001883714	ECT2/RAN/TRIM28/TARDBP	4
BP	GO:0051382	kinetochore assembly	3/140	16/18670	0.000215152	0.002498218	0.001984305	CENPA/CENPF/CENPH	3
BP	GO:0007127	meiosis I	6/140	114/18670	0.000219256	0.002530108	0.002009635	FANCD2/PLK1/RAD51/RAD54L/ESPL1/NDC1	6
BP	GO:0002312	B cell activation involved in immune response	5/140	73/18670	0.000220157	0.002530108	0.002009635	MSH6/MSH2/UNG/EXO1/DOCK11	5
BP	GO:0045931	positive regulation of mitotic cell cycle	7/140	163/18670	0.000230955	0.002640668	0.002097452	CDC25A/ESPL1/DLGAP5/NUP62/NUSAP1/DTL/CDCA5	7
BP	GO:0043900	regulation of multi-organism process	11/140	405/18670	0.000242622	0.002759982	0.002192221	DHX9/IFI16/ILF3/KPNA2/POLR2D/AIM2/TRIM28/RRP1B/TARDBP/YTHDF2/CHMP4B	11
BP	GO:0045005	DNA-dependent DNA replication maintenance of fidelity	4/140	41/18670	0.000247284	0.002798801	0.002223055	TONSL/RAD51/TIMELESS/RFWD3	4
BP	GO:1902117	positive regulation of organelle assembly	5/140	75/18670	0.000249963	0.00281491	0.00223585	RP1/G3BP1/PLK4/NUP62/WRAP73	5
BP	GO:0007076	mitotic chromosome condensation	3/140	17/18670	0.000259824	0.002911332	0.002312437	NCAPH/NUSAP1/CDCA5	3
BP	GO:0051293	establishment of spindle localization	4/140	43/18670	0.00029787	0.003315175	0.002633205	CENPA/PLK1/ESPL1/NUSAP1	4
BP	GO:0033157	regulation of intracellular protein transport	8/140	225/18670	0.000300207	0.003315175	0.002633205	ECT2/GDI1/RAN/TRIM28/TARDBP/NUP62/GTSE1/LRRK2	8
BP	GO:1903313	positive regulation of mRNA metabolic process	5/140	78/18670	0.000300304	0.003315175	0.002633205	TRA2B/HNRNPR/DAZAP1/YTHDF2/RC3H1	5
BP	GO:1903312	negative regulation of mRNA metabolic process	5/140	79/18670	0.000318681	0.003500809	0.002780652	DHX9/YBX1/PTBP1/SRSF7/TARDBP	5
BP	GO:0031145	anaphase-promoting complex-dependent catabolic process	5/140	81/18670	0.000357981	0.003913339	0.003108319	BUB1B/PLK1/PSMC6/AURKB/PSME3	5
BP	GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	4/140	47/18670	0.000420645	0.004532048	0.003599753	MSH6/MSH2/UNG/EXO1	4
BP	GO:0002208	somatic diversification of immunoglobulins involved in immune response	4/140	47/18670	0.000420645	0.004532048	0.003599753	MSH6/MSH2/UNG/EXO1	4
BP	GO:0045190	isotype switching	4/140	47/18670	0.000420645	0.004532048	0.003599753	MSH6/MSH2/UNG/EXO1	4
BP	GO:0006997	nucleus organization	6/140	130/18670	0.000444633	0.00476757	0.003786825	PLK1/CCNB2/TARDBP/SERBP1/NDC1/CHMP4B	6
BP	GO:0006338	chromatin remodeling	7/140	182/18670	0.000450437	0.004806802	0.003817986	CENPA/HELLS/NASP/OIP5/MIS18A/HJURP/CENPH	7
BP	GO:0051653	spindle localization	4/140	48/18670	0.000456235	0.004845603	0.003848806	CENPA/PLK1/ESPL1/NUSAP1	4
BP	GO:0034728	nucleosome organization	7/140	184/18670	0.000480889	0.005083359	0.004037653	CENPA/MCM2/NASP/OIP5/MIS18A/HJURP/CENPH	7
BP	GO:0051383	kinetochore organization	3/140	21/18670	0.000497145	0.005206086	0.004135133	CENPA/CENPF/CENPH	3
BP	GO:0071459	protein localization to chromosome, centromeric region	3/140	21/18670	0.000497145	0.005206086	0.004135133	CENPA/TTK/AURKB	3
BP	GO:0007063	regulation of sister chromatid cohesion	3/140	22/18670	0.000572492	0.005939606	0.004717759	BUB1/ESPL1/CDCA5	3
BP	GO:0046599	regulation of centriole replication	3/140	22/18670	0.000572492	0.005939606	0.004717759	STIL/PLK4/NUP62	3
BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	5/140	91/18670	0.000612046	0.006320712	0.005020468	CDC25A/ESPL1/DLGAP5/DTL/CDCA5	5
BP	GO:0006998	nuclear envelope organization	4/140	52/18670	0.00062024	0.006346838	0.005041219	PLK1/CCNB2/TARDBP/CHMP4B	4
BP	GO:0016447	somatic recombination of immunoglobulin gene segments	4/140	52/18670	0.00062024	0.006346838	0.005041219	MSH6/MSH2/UNG/EXO1	4
BP	GO:0031346	positive regulation of cell projection organization	10/140	383/18670	0.00063367	0.006454795	0.005126968	CDC42/GDI1/MAPT/RAC1/RP1/IQGAP1/OBSL1/CORO1C/WRAP73/DOCK11	10
BP	GO:1903429	regulation of cell maturation	3/140	23/18670	0.000654765	0.006639493	0.005273672	KIF14/YTHDF2/LRRK2	3
BP	GO:0036297	interstrand cross-link repair	4/140	53/18670	0.000667	0.006733099	0.005348021	FANCD2/MSH6/RAD51/RFWD3	4
BP	GO:1902410	mitotic cytokinetic process	3/140	24/18670	0.000744211	0.007478821	0.005940339	KIF20A/NUP62/CHMP4B	3
BP	GO:0017038	protein import	7/140	199/18670	0.000765338	0.007631756	0.006061814	ECT2/KPNA2/RAN/TRIM28/TARDBP/NUP62/LRRK2	7
BP	GO:1903829	positive regulation of cellular protein localization	9/140	324/18670	0.000766241	0.007631756	0.006061814	ECT2/MAPT/PLK1/RAN/IQGAP1/TRIM28/TARDBP/NUP62/GTSE1	9
BP	GO:0000077	DNA damage checkpoint	6/140	145/18670	0.000790972	0.007843224	0.00622978	MSH2/PLK1/GTSE1/DTL/RFWD3/CLSPN	6
BP	GO:0002381	immunoglobulin production involved in immunoglobulin mediated immune response	4/140	56/18670	0.000822224	0.008081599	0.006419119	MSH6/MSH2/UNG/EXO1	4
BP	GO:0045292	mRNA cis splicing, via spliceosome	4/140	56/18670	0.000822224	0.008081599	0.006419119	SRSF2/SRSF3/SRSF5/SRSF7	4
BP	GO:0051307	meiotic chromosome separation	3/140	25/18670	0.000841072	0.00823075	0.006537588	TTK/ESPL1/NCAPH	3
BP	GO:0045143	homologous chromosome segregation	4/140	57/18670	0.000879181	0.008529195	0.006774639	FANCD2/PLK1/ESPL1/NDC1	4
BP	GO:0075733	intracellular transport of virus	4/140	57/18670	0.000879181	0.008529195	0.006774639	KPNA2/RAN/NUP62/NDC1	4
BP	GO:0072331	signal transduction by p53 class mediator	8/140	267/18670	0.000926576	0.008950246	0.007109075	IFI16/MSH2/TAF5/EXO1/AURKB/BRD7/GTSE1/PAK1IP1	8
BP	GO:0120034	positive regulation of plasma membrane bounded cell projection assembly	5/140	100/18670	0.000939028	0.009031593	0.007173688	CDC42/RAC1/RP1/WRAP73/DOCK11	5
BP	GO:0000018	regulation of DNA recombination	5/140	101/18670	0.00098206	0.00940511	0.007470369	MSH6/KPNA2/MSH2/RAD51/TIMELESS	5
BP	GO:0046794	transport of virus	4/140	60/18670	0.001066682	0.010172058	0.008079547	KPNA2/RAN/NUP62/NDC1	4
BP	GO:2001020	regulation of response to DNA damage stimulus	7/140	214/18670	0.001169089	0.011096288	0.008813652	DHX9/MAPT/RAD51/TIMELESS/TRIM28/RFWD3/AUNIP	7
BP	GO:0071168	protein localization to chromatin	3/140	28/18670	0.001178455	0.011096288	0.008813652	MSH2/PLK1/CDCA5	3
BP	GO:1902745	positive regulation of lamellipodium organization	3/140	28/18670	0.001178455	0.011096288	0.008813652	CDC42/RAC1/CORO1C	3
BP	GO:0032388	positive regulation of intracellular transport	7/140	215/18670	0.001201001	0.011216596	0.008909211	DHX9/ECT2/RAN/TRIM28/CPSF6/TARDBP/GTSE1	7
BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	4/140	62/18670	0.001206247	0.011216596	0.008909211	MSH6/MSH2/UNG/EXO1	4
BP	GO:0016444	somatic cell DNA recombination	4/140	62/18670	0.001206247	0.011216596	0.008909211	MSH6/MSH2/UNG/EXO1	4
BP	GO:1901989	positive regulation of cell cycle phase transition	5/140	106/18670	0.001219557	0.011293502	0.008970296	CDC25A/ESPL1/DLGAP5/DTL/CDCA5	5
BP	GO:0048524	positive regulation of viral process	5/140	107/18670	0.001271738	0.011728246	0.009315608	DHX9/KPNA2/POLR2D/RRP1B/CHMP4B	5
BP	GO:0031503	protein-containing complex localization	8/140	281/18670	0.001284892	0.011800998	0.009373394	POLR2D/RAN/SRSF2/SRSF3/SRSF5/SRSF7/NUP62/NDC1	8
BP	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	5/140	108/18670	0.00132555	0.012124727	0.009630528	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0032386	regulation of intracellular transport	10/140	423/18670	0.001344501	0.012248077	0.009728504	DHX9/ECT2/GDI1/RAN/TRIM28/CPSF6/TARDBP/NUP62/GTSE1/LRRK2	10
BP	GO:0016445	somatic diversification of immunoglobulins	4/140	64/18670	0.001358121	0.012272377	0.009747805	MSH6/MSH2/UNG/EXO1	4
BP	GO:0046782	regulation of viral transcription	4/140	64/18670	0.001358121	0.012272377	0.009747805	DHX9/POLR2D/RRP1B/TARDBP	4
BP	GO:0090175	regulation of establishment of planar polarity	5/140	110/18670	0.001438197	0.012897622	0.01024443	CDC42/PSMC6/RAC1/PSME3/PLEKHA4	5
BP	GO:0044818	mitotic G2/M transition checkpoint	3/140	30/18670	0.00144458	0.012897622	0.01024443	ORC1/CLSPN/TICRR	3
BP	GO:0061157	mRNA destabilization	3/140	30/18670	0.00144458	0.012897622	0.01024443	HNRNPR/YTHDF2/RC3H1	3
BP	GO:0007143	female meiotic nuclear division	3/140	31/18670	0.001590632	0.014033882	0.011146948	PLK1/TTK/NCAPH	3
BP	GO:0010458	exit from mitosis	3/140	31/18670	0.001590632	0.014033882	0.011146948	SIRT7/CDCA5/CHMP4B	3
BP	GO:0031572	G2 DNA damage checkpoint	3/140	31/18670	0.001590632	0.014033882	0.011146948	PLK1/DTL/CLSPN	3
BP	GO:0051054	positive regulation of DNA metabolic process	7/140	228/18670	0.001681428	0.014745535	0.011712205	DHX9/MSH2/RAC1/RAD51/TIMELESS/AURKB/TRIM28	7
BP	GO:0008543	fibroblast growth factor receptor signaling pathway	5/140	114/18670	0.001684452	0.014745535	0.011712205	HNRNPH1/HNRNPM/POLR2D/PTBP1/IQGAP1	5
BP	GO:0031297	replication fork processing	3/140	32/18670	0.001745609	0.015162441	0.012043349	TONSL/RAD51/RFWD3	3
BP	GO:0050779	RNA destabilization	3/140	32/18670	0.001745609	0.015162441	0.012043349	HNRNPR/YTHDF2/RC3H1	3
BP	GO:2001252	positive regulation of chromosome organization	6/140	174/18670	0.002015211	0.017436632	0.013849712	AURKB/ESPL1/DLGAP5/TRIM28/BRD7/LRRK2	6
BP	GO:0051098	regulation of binding	9/140	373/18670	0.00203135	0.017508671	0.013906932	DHX9/IFI16/PLK1/RAN/AURKB/TRIM28/HJURP/CDCA5/LRRK2	9
BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	6/140	175/18670	0.002074126	0.01754972	0.013939537	KIF11/PSMC6/KIF23/PSME3/KIF2C/RACGAP1	6
BP	GO:0120032	regulation of plasma membrane bounded cell projection assembly	6/140	175/18670	0.002074126	0.01754972	0.013939537	CDC42/RAC1/RP1/CORO1C/WRAP73/DOCK11	6
BP	GO:0002183	cytoplasmic translational initiation	3/140	34/18670	0.002083099	0.01754972	0.013939537	EIF2D/YTHDF2/TICRR	3
BP	GO:0006409	tRNA export from nucleus	3/140	34/18670	0.002083099	0.01754972	0.013939537	RAN/NUP62/NDC1	3
BP	GO:0033120	positive regulation of RNA splicing	3/140	34/18670	0.002083099	0.01754972	0.013939537	SRSF5/TRA2B/DAZAP1	3
BP	GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus	3/140	34/18670	0.002083099	0.01754972	0.013939537	RAN/NUP62/NDC1	3
BP	GO:0019083	viral transcription	6/140	177/18670	0.002195856	0.01833356	0.014562132	DHX9/POLR2D/RRP1B/TARDBP/NUP62/NDC1	6
BP	GO:0060491	regulation of cell projection assembly	6/140	177/18670	0.002195856	0.01833356	0.014562132	CDC42/RAC1/RP1/CORO1C/WRAP73/DOCK11	6
BP	GO:0044766	multi-organism transport	4/140	73/18670	0.002208863	0.01833356	0.014562132	KPNA2/RAN/NUP62/NDC1	4
